Delegator,Amount
cosmos1dvrfcrle48gxhvc8a4zd74x96nkpzazcw3uvzp,4.945592
cosmos1474qpkm2aym5c6nwee9ptg9gyc72u3w92txm85,0.1075
cosmos12rwe6xexeqghu3quhpq4jh47pcgwgkc3tfamjk,32.780546
cosmos1wunyvu5clknx6e3mr5h4j6l0ceauqrnm4d7gnz,174.985
cosmos1gmepjpwj8sy2z6akg0wkh6ays2lq27j3haw5ee,57
cosmos12rmatw6djxprgk5skyezwwzw56e6eurdpe5pdq,10
cosmos1wax5m0u7sdpak4g0e348jdxjfquw7mtqd5z2aw,27.396108
cosmos1ue3x77tn0sl0kgfc2f0fr665yr4hcz4cxhekqu,360.862636
cosmos19v6fkaspctdr2eca57pj4gzf09qc48nereyu40,101308.017309
cosmos1yj4e6vw3cndt7rg39k927e7le43l9fp5uwks7t,1.82006
cosmos100cpxrfw7arp33p7l5wzcmknljgh6jlaunjz3f,7.523542
cosmos1tx0kr3wyxree6n5x372vah06l7wp6ukcqzl28w,0.2
cosmos127hh0em26uqm5dt87qcvnfk3mvexuxeu7umvkz,169.436256
cosmos1twxujfuht4nlgxymcv2rthzw7en6u2t4ayscrh,11.7965
cosmos1myajsje2v2n30dqlta537v8m0lmsq0k39jg8dz,221.31
cosmos1lts89t7zhtm5chh0z23mxp9nw0japyleu386cu,193.195
cosmos16r565vv7rc77fp4c6dp7vmg6rmm0f79t92d3ej,1.15
cosmos1xpmuumwz3v6kealh2mv4redf0dqj4lu7ecqzww,72.508593
cosmos1jjy4vu56ggl5rqsd83dr2apfq3cm6app7q9p8p,9.107762
cosmos1duru75f0hke4qr0pq72nz2fn382dymtrxq9ajv,70
cosmos1ksyj2jgletsj5k4wklkeu56sa54qgjqumzh3gm,26.290258
cosmos1sj43dt84hwz8alvn0j7ja2humla3wx7yeg7j6x,100.91983
cosmos1sqjgdagwtl48rdd7eacx80tc5xjazup9ylm6t4,0.000001
cosmos1mstmfgenhj7v0v2t06903wrca9wr6ws2fh95lk,54.24075
cosmos1zdeeaqtm7hvwhjslqgcqltfz2qle7zdcx65mr8,16.108389
cosmos1hzskuzz09p3fgha4hv3x69h865ueuhpatq930r,615.259703
cosmos1u65s4kwfk8u5flq9pmusvq42ed7cx8qq946ypv,0
cosmos1s8uw6ql6h0f22umcq8hy0lcat5r46ldlfd2qwf,0.83737
cosmos1gq2d0xnsrepcm8tpj99kap6qcccvkrnaj29mj4,51.584
cosmos18fqd5nj29a8g8j8tck03g8hqs4jtjx7akws3lv,500
cosmos12tv2fsesgn84czwjey7xvly9yh9s3wrx63a24t,4394.359901
cosmos1xxwkdzlarjd2g70zt37yxazp85eq0xl35vanna,21.734117
cosmos1g6f0995wytas3k3aexxljr3ax3rsv55f8vsj34,41.273759
